#Data do pedido :12/10/2010 Para o cliente: isac
#codigo	preco_compra	quantidade
1212	3	14.76
2323	2	287.82
121112	2	25.8
#Data do pedido:12/10/2010 Para o cliente: isac
#codigo	preco_compra	quantidade
1212	4	14.76
2323	2	287.82
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
#Data do pedido:13/10/2010 Para o cliente: clienteteste
#codigo	preco_compra	quantidade
1212	4	13.2300005
